Delivery Date,Quantity in L
2009-01,1678.0
2009-11,1100.0
2009-12,29086.0
2010-01,7336080.0
2010-02,10003888.5
2010-03,10347965.0
2010-04,7476263.473333334
2010-05,6601344.166666666
2010-06,5636758.333333333
2010-07,5065350.0
2010-08,5995037.666666666
2010-09,6702774.899999999
2010-10,8572194.836666666
2010-11,11722072.95
2010-12,13325940.796999998
2011-01,12442951.0
2011-02,13164842.491
2011-03,11444227.93
2011-04,8520545.666666666
2011-05,7937581.0
2011-06,6725448.0
2011-07,6931452.3966666665
2011-08,8000798.99
2011-09,9341450.870000001
2011-10,9536331.45
2011-11,12242538.0
2011-12,23364997.62
2012-01,12309352.186666666
2012-02,12002872.421999998
2012-03,11151236.0
2012-04,9218922.293333333
2012-05,8447382.0
2012-06,6341248.966666667
2012-07,6591891.873333334
2012-08,7308600.26
2012-09,8425682.0
2012-10,10465988.5
2012-11,11445654.0
2012-12,13031264.0
2013-01,13738012.463333335
2013-02,12140541.3
2013-03,10928360.333333334
2013-04,10242009.333333332
2013-05,9317684.0
2013-06,6280913.5
2013-07,7330068.666666667
2013-08,7229522.151666666
2013-09,9153874.75
2013-10,11333978.333333332
2013-11,11209315.0
2013-12,11548544.671
2014-01,12844738.267500002
2014-02,10643309.685999999
2014-03,10090129.460333332
2014-04,8330509.652
2014-05,7847228.0
2014-06,6396286.0
2014-07,6806115.4
2014-08,6984044.0
2014-09,7512116.0
2014-10,10161204.0
2014-11,10039294.833333332
2014-12,11882799.0
2015-01,11389616.0
2015-02,10058478.751
2015-03,9867589.0
2015-04,8321861.0
2015-05,6891557.666666667
2015-06,5982022.1375
2015-07,5972080.0
2015-08,6099152.318333333
2015-09,7513410.666666667
2015-10,9363246.0
2015-11,9139781.0
2015-12,11608514.962000001
2016-01,9667195.331999999
2016-02,10418344.9
2016-03,10406176.364333333
2016-04,7844377.937
2016-05,7318502.0
2016-06,5939134.0
2016-07,5888612.966666667
2016-08,6957138.0
2016-09,7443335.046
2016-10,8437173.61
2016-11,10454926.666666668
2016-12,11410974.34
2017-01,11474621.0
2017-02,10503349.534
2017-03,10042596.056
2017-04,7629212.813999999
2017-05,7890777.226
2017-06,6550555.0
2017-07,5987358.833333334
2017-08,6804642.333333333
2017-09,7265447.551
2017-10,8922120.0
2017-11,9246899.0
2017-12,10642917.0
2018-01,11151607.666666666
2018-02,9849103.0
2018-03,8945516.217
2018-04,7944876.0
2018-05,7411452.95
2018-06,6168609.2
2018-07,6113224.336
2018-08,7097685.4
2018-09,6830946.7
2018-10,8827364.3
2018-11,9967320.499999998
2018-12,9987540.099999998
2019-01,11669494.7
2019-02,10117610.76
2019-03,8945644.3
2019-04,7864603.199999999
2019-05,10961628.743999999
2019-06,5670188.3
2019-07,6704229.8
2019-08,6957238.4
2019-09,7731723.7
2019-10,9964362.437
2019-11,10271272.608333334
2019-12,11181603.033333333
2020-01,11319847.085999997
2020-02,10832540.682
2020-03,11255367.32
2020-04,8166681.500333332
2020-05,6472108.213333334
2020-06,6135981.436666667
2020-07,6908332.43
2020-08,6920362.300000001
2020-09,8056480.396000001
2020-10,8837533.51
2020-11,9159605.11
2020-12,11340425.735
2021-01,9617391.711
2021-02,9012427.94
2021-03,9566734.229000002
2021-04,5298336.05
2021-05,417500.0
2021-06,127100.0
2021-07,4000.0
2021-09,1000.0
